model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_eval,harmbench,safe_average,unsafe_average,invert_toxigen,invert_unsafe_average,normalized_safe_average,normalized_harmbench,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Safety Average,Safety Average (except exaggerated),Combo
llama_2_7b-tulu_all-safety_none,llama_2_7b,tulu_all,1.0,safety_none,1.0,N/A,0.44629629629629625,0.37129629629629624,0.20304878048780486,0.36920290122925475,0.33,0.075,0.4888192565161658,0.5045577553055121,0.5928571428571429,0.47368421052631576,0.47441829140352193,0.13424108453002123,0.7288029925187033,54.0,99.19999603200017,31.99999872000005,0.40714285714285714,0.6800000127999994,0.9919999603200017,0.45999999999999996,0.2987836119875244,0.5106315594702223,0.5157142899809521,0.5157142899809521,Llama 2 7B -> Tulu All & Safety None
llama_2_7b-tulu_none-safety_40,llama_2_7b,tulu_none,0.0,safety_40,1.0,N/A,0.14259259259259258,0.24166666666666672,0.12378048780487803,0.1709204532913285,0.09,0.015,0.3612733228884774,0.368964534966529,0.0,0.39167686658506734,0.22119022930018406,0.05216366528311383,0.03850931677018633,0.0,9.999999600000017,0.0,1.0,1.0,0.09999999600000016,1.0,0.19508998161461943,0.21109335152252146,1.0,1.0,Llama 2 7B -> Tulu None & Safety 40%
llama_2_7b-tulu_none-safety_20,llama_2_7b,tulu_none,0.0,safety_20,1.0,N/A,0.1425925925925926,0.21388888888888888,0.12804878048780488,0.21567044391838625,0.1,0.005,0.3568579974362626,0.3664720125338271,0.0,0.3463892288861689,0.2546600577264565,0.06404693853613869,0.03980099502487562,0.0,5.599999776000009,0.0,1.0,1.0,0.055999997760000086,1.0,0.19065477216341442,0.21031004547426674,1.0,1.0,Llama 2 7B -> Tulu None & Safety 20%
llama_2_7b-tulu_none-safety_60,llama_2_7b,tulu_none,0.0,safety_60,1.0,N/A,0.09629629629629628,0.25833333333333336,0.1228658536585366,0.19251492013989183,0.085,0.02,0.34325594644637514,0.34054977923372737,0.0,0.42472460220318237,0.21323315692760833,0.053178025390620415,0.043478260869565216,0.0,9.999999600000017,0.0,1.0,1.0,0.09999999600000016,1.0,0.18924612847499087,0.2078607025733363,1.0,1.0,Llama 2 7B -> Tulu None & Safety 60%
llama_2_7b-tulu_none-safety_80,llama_2_7b,tulu_none,0.0,safety_80,1.0,N/A,0.1435185185185185,0.2796296296296297,0.1173780487804878,0.19691752972542825,0.08,0.035,0.3835635949294972,0.37829369035749894,0.0,0.4039167686658507,0.23479538728208196,0.05531919216437893,0.04720496894409938,0.0,14.399999424000024,0.0,1.0,1.0,0.14399999424000023,1.0,0.20731904188158237,0.22667311333733958,1.0,1.0,Llama 2 7B -> Tulu None & Safety 80%
llama_2_7b-tulu_none-safety_upsample,llama_2_7b,tulu_none,0.0,safety_upsample,1.0,N/A,0.2537037037037037,0.287962962962963,0.08780487804878048,0.1734733589298265,0.06,0.055,0.3118501637943313,0.3183307221193562,0.0,0.40514075887392903,0.2512010162722572,0.05452925672653563,0.031055900621118012,0.0,6.79999972800001,0.0,1.0,1.0,0.0679999972800001,1.0,0.1869930903294986,0.21762414269343539,1.0,1.0,Llama 2 7B -> Tulu None & Safety Upsample
llama_2_7b-tulu_none-safety_100,llama_2_7b,tulu_none,0.0,safety_100,1.0,N/A,0.13888888888888887,0.27962962962962956,0.12195121951219512,0.19123524949716147,0.1,0.05,0.36227033186155816,0.36191425722831505,0.0,0.3843329253365973,0.17626226564905478,0.0390164653024794,0.03975155279503106,0.0,7.999999680000011,0.4999999800000008,1.0,0.9950000002,0.07999999680000011,1.0,0.20240430481682237,0.20471280829046581,0.9983333334000001,0.9983333334000001,Llama 2 7B -> Tulu None & Safety 100%
llama_2_7b-tulu_all-safety_80,llama_2_7b,tulu_all,1.0,safety_80,1.0,N/A,0.4527777777777777,0.3953703703703703,0.2253048780487805,0.3814314885446804,0.31,0.055,0.49380430138156955,0.5025637373593506,0.008714285714285714,0.5079559363525091,0.4712518398306169,0.12321548889550553,0.7057356608478803,14.25,41.19999835200006,0.0,0.9912857142857143,1.0,0.41199998352000056,0.8575,0.3006697020055596,0.43274590391530776,0.9495952380952382,0.9495952380952382,Llama 2 7B -> Tulu All & Safety 80%
llama_2_7b-tulu_all-safety_upsample,llama_2_7b,tulu_all,1.0,safety_upsample,1.0,N/A,0.44074074074074077,0.40833333333333327,0.20396341463414633,0.39631482973720383,0.315,0.055,0.49017234012248967,0.49715140293405496,0.15671428571428572,0.5397796817625459,0.4763318105989364,0.11903841434333964,0.7182835820895522,21.5,43.99999824000007,0.0,0.8432857142857143,1.0,0.43999998240000066,0.785,0.29677299469648816,0.4426199121945596,0.876095238095238,0.876095238095238,Llama 2 7B -> Tulu All & Safety Upsample
llama_2_7b-tulu_all-safety_100,llama_2_7b,tulu_all,1.0,safety_100,1.0,N/A,0.4407407407407408,0.38518518518518513,0.21615853658536582,0.35061701682746765,0.34,0.065,0.4924512177752457,0.5083321464178892,0.038714285714285715,0.5055079559363526,0.4954904199157806,0.1190258903098123,0.6998754669987547,14.0,35.59999857600006,0.4999999800000008,0.9612857142857143,0.9950000002,0.35599998576000064,0.86,0.3003389841526902,0.42582961956508397,0.9387619048285715,0.9387619048285715,Llama 2 7B -> Tulu All & Safety 100%
