task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
dare_ties-llama_2_7b-tulu_all_0.0-science_200_1.0,0.38155,0.53056,0.65447,0.00000,0.00581,0.00291,0.48977,0.19399,0.16209,0.08065,0.34275,0.33474,0.40228,0.56000,0.33967,0.34275
dare_ties-llama_2_7b-tulu_all_0.0-science_500_1.0,0.44207,0.59266,0.57151,0.00470,0.02115,0.01880,0.47788,0.30262,0.16150,0.37619,0.37767,0.39759,0.46107,0.60426,0.39319,0.39759
dare_ties-llama_2_7b-tulu_all_0.0-science_1000_1.0,0.41916,0.60983,0.61961,0.00000,0.00281,0.00281,0.54415,0.29879,0.11711,0.26159,0.35614,0.40000,0.47605,0.60870,0.38526,0.40000
dare_ties-llama_2_7b-tulu_all_0.0-science_2500_1.0,0.43920,0.53589,0.54904,0.00000,0.01266,0.00253,0.54563,0.26745,0.14813,0.31116,0.32839,0.43503,0.49652,0.67308,0.38597,0.43503
dare_ties-llama_2_7b-tulu_all_0.0-science_upsample_1.0,0.39045,0.56262,0.54670,0.00000,0.00508,0.00508,0.44082,0.30230,0.18286,0.41751,0.27725,0.41279,0.48536,0.67308,0.38286,0.41279
slerp-llama_2_7b-tulu_all_1.0-science_100_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
slerp-llama_2_7b-tulu_all_1.0-science_200_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
slerp-llama_2_7b-tulu_all_1.0-science_500_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
slerp-llama_2_7b-tulu_all_1.0-science_1000_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
slerp-llama_2_7b-tulu_all_1.0-science_2500_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
slerp-llama_2_7b-tulu_all_1.0-science_upsample_0.0,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28403,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24739,0.25963
slerp-llama_2_7b-tulu_all_0.0-science_100_1.0,0.42435,0.50328,0.57097,0.00000,0.01852,0.00926,0.37213,0.16696,0.05818,0.05847,0.28571,0.19048,0.25387,0.38323,0.27566,0.28571
slerp-llama_2_7b-tulu_all_0.0-science_200_1.0,0.38155,0.53056,0.65447,0.00000,0.00581,0.00291,0.48977,0.19399,0.16209,0.08065,0.34275,0.33474,0.40228,0.56000,0.33967,0.34275
slerp-llama_2_7b-tulu_all_0.0-science_500_1.0,0.44207,0.59266,0.57151,0.00470,0.02115,0.01880,0.47788,0.30262,0.16150,0.37619,0.37767,0.39759,0.46107,0.60426,0.39319,0.39759
slerp-llama_2_7b-tulu_all_0.0-science_1000_1.0,0.41916,0.60983,0.61961,0.00000,0.00281,0.00281,0.54415,0.29879,0.11711,0.26159,0.35614,0.40000,0.47605,0.60870,0.38526,0.40000
slerp-llama_2_7b-tulu_all_0.0-science_2500_1.0,0.43920,0.53589,0.54904,0.00000,0.01266,0.00253,0.54563,0.26745,0.14813,0.31116,0.32839,0.43503,0.49652,0.67308,0.38597,0.43503
slerp-llama_2_7b-tulu_all_0.0-science_upsample_1.0,0.39045,0.56262,0.54670,0.00000,0.00508,0.00508,0.44082,0.30230,0.18286,0.41751,0.27725,0.41279,0.48536,0.67308,0.38286,0.41279
data_weighted_task_arithmetic-llama_2_7b-tulu_all-science_2500,0.46008,0.49710,0.45377,0.00000,0.05233,0.01550,0.34191,0.32736,0.04196,0.06643,0.29145,0.30332,0.42798,0.61187,0.31342,0.32736
data_weighted_linear-llama_2_7b-tulu_all-science_2500,0.45401,0.48134,0.51676,0.00000,0.07038,0.02786,0.33115,0.27038,0.03776,0.05123,0.28512,0.26735,0.39118,0.57944,0.30408,0.28512
